professional_id,name,email,role,hire_date,region
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Joaquim Câmara,gustavorocha@pastor.com,Gerente de Contas,2021-04-01,AP
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Gael Henrique Silva,ccamara@abreu.com,Vendedor Júnior,2024-08-04,MT
f50bea63-371e-4d7b-a7cd-813047229389,Sr. Caleb Garcia,fogacacatarina@aparecida.br,Vendedor Sênior,2025-07-23,AM
142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,Laís Pires,matheus10@vargas.net,Vendedor Sênior,2021-11-08,MG
d58842de-a2bc-472f-b412-b29347294739,Sr. Léo Fogaça,vitorsampaio@pereira.com,Vendedor Júnior,2025-07-16,SC
6123fdf7-7656-4f72-a9d4-beef3eabedcb,Henry Rodrigues,daniel30@guerra.org,Vendedor Sênior,2021-07-23,DF
e059a0ee-9132-463e-b162-87e4e9c349e0,Sra. Hadassa Rezende,pgoncalves@casa.org,Vendedor Pleno,2022-03-08,ES
434308bc-89fa-4a68-8fb5-d27bbeb79919,Dra. Mariane Pacheco,ofonseca@moraes.com,Vendedor Sênior,2021-12-05,BA
ae340454-cac5-468c-a8f4-9481a0a04dc4,Ana Luiza Gomes,dpeixoto@novaes.com,Gerente de Contas,2021-12-20,RO
444ea7c8-c039-4710-8976-e334e2817efd,Manuela Camargo,luara27@silveira.org,Vendedor Júnior,2025-04-03,SP
1b3dbd5c-e9a1-4a6f-81f7-6d1c2dbc2134,Letícia Porto,leandrofreitas@nogueira.com,Vendedor Pleno,2023-10-03,PR
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Isaque Araújo,emanuelbarros@azevedo.com,Vendedor Júnior,2022-02-01,RO
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,Vinícius Pereira,icunha@silva.br,Vendedor Sênior,2024-09-21,PE
3985c3cf-3f76-4e1d-9efa-21977394988f,Lucca Almeida,pedro-lucasabreu@santos.com,Vendedor Sênior,2022-12-11,AP
5496f63c-dc11-40c1-880a-adfbe7c99b26,Théo da Costa,maria-vitoria38@silveira.br,Vendedor Sênior,2023-01-23,SE
30beb45f-6835-44f2-8eb8-1f9d7914c120,Calebe Ribeiro,bfogaca@martins.com,Vendedor Pleno,2021-10-31,AL
ccf3a171-56dc-4907-ba6c-34ab6712303a,Josué Correia,stellamachado@lima.br,Gerente de Contas,2023-02-14,AP
db20a56e-dc81-4fe7-8eda-8bbb71710434,Beatriz Aragão,borgesrenan@jesus.net,Gerente de Contas,2024-05-28,AL
fc3d3348-008d-4127-a104-61e32a25a888,Julia Viana,bda-paz@cassiano.net,Vendedor Sênior,2023-07-09,DF
bc594585-9445-48c0-8ef8-c2d6f7fd5646,Ana Liz Souza,danilo09@montenegro.com,Vendedor Júnior,2021-06-24,PE
118a9d29-2f92-4996-99f1-95d014822f53,Ana Lívia Rocha,isiscampos@pacheco.com,Vendedor Pleno,2024-07-24,RO
